ID,Binomial,Replicate,Citation,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Migratory_fw_fish,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
243,Agelaius_xanthomus,0,"Wiley, J. W., W. Post, et al. (1991). ""Conservation of the Yellow-shouldered Blackbird Agelaius xanthomus, an endangered West Indian species."" Biological Conservation 55: 119-138.",Aves,Passeriformes,Icteridae,Agelaius,xanthomus,,"(Sclater, 1862)",Yellow-shouldered blackbird,"Boquer??n forest, southwestern Puerto Rico",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,17.97389,-67.12639,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Winter roost counts,,,,,,,,,,,,,,,,,,,,,,,,,,1663,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Agelaius_xanthomus,0," U.S. Fish and Wildlife Service (1996). Yellow-shouldered Blackbird (Agelaius xanthomus) Revised recovery plan. U. F. a. W. Service. Atlanta, Georgia: 77 pp.",Aves,Passeriformes,Icteridae,Agelaius,xanthomus,monensis,"(Sclater, 1862)",Yellow-shouldered blackbird,"Monito Island, Puerto Rico",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.17028,-67.97194,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,
246,Agelaius_xanthomus,0," U.S. Fish and Wildlife Service (1996). Yellow-shouldered Blackbird (Agelaius xanthomus) Revised recovery plan. U. F. a. W. Service. Atlanta, Georgia: 77 pp.",Aves,Passeriformes,Icteridae,Agelaius,xanthomus,,"(Sclater, 1862)",Yellow-shouldered blackbird,"Salinas, Puerto Rico",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.01528,-66.25417,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,
247,Agelaius_xanthomus,0," U.S. Fish and Wildlife Service (1996). Yellow-shouldered Blackbird (Agelaius xanthomus) Revised recovery plan. U. F. a. W. Service. Atlanta, Georgia: 77 pp.",Aves,Passeriformes,Icteridae,Agelaius,xanthomus,monensis,"(Sclater, 1862)",Yellow-shouldered blackbird,"Mona Islands, Puerto Rico",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.08722,-67.97194,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,220,310,,,,338,,,,,,310,,267,153,,,,,,,,,,,,,,,,,,,,,,,,,
248,Amazona_arausiaca,0," Juniper, T. and M. Parr (1998). Parrots: A guide to the parrots of the world. Haarlem, Netherlands, Ger Meesters Boekprodukties.",Aves,Psittaciformes,Psittacidae,Amazona,arausiaca,,"(M??ller, 1776)",Red-necked amazon,"Dominica, Lesser Antilles",Dominica,Dominica,Latin America and Caribbean,Americas,Caribbean,15.5,-61.33333,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,350,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Amazona_leucocephala,0," Gnam, R. and A. Burchsted (1991). ""Population estimates for the Bahama parrot on Abaco Island, Bahamas."" Journal of Field Ornithology 62(1): 139-146.",Aves,Psittaciformes,Psittacidae,Amazona,leucocephala,bahamensis,"(Linnaeus, 1758)",Cuban amazon,Abaco Island,Bahamas,Bahamas,Latin America and Caribbean,Americas,Caribbean,26.46667,-77.08333,1,Terrestrial,Neotropical,Tropical and subtropical coniferous forests,,,,,,0,Number of individuals,Roost counts,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,351,,1203,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Amazona_barbadensis,0,"Snyder, N., P. McGowan, et al. (2000). Parrots.  Status Survey and Coservation Action Plan 2000-2004. IUCN. Gland, Switzerland and Cambridge, UK.",Aves,Psittaciformes,Psittacidae,Amazona,barbadensis,,"(Gmelin, 1788)",Yellow-shouldered amazon,"Margarita and La Blanquilla Islands, Venezuela","Venezuela, Bolivarian Republic Of","Venezuela, Bolivarian Republic Of",Latin America and Caribbean,Americas,South America,11.01556,-63.90583,0,Terrestrial,Neotropical,Deserts and xeric shrublands,,,,,,0,Number of individuals,Yearly census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,
252,Amazona_leucocephala,0," Baxter, T. (1997). ""The Cayman Islands."" El Pitirre - Society of Caribbean Ornithology 10(3).",Aves,Psittaciformes,Psittacidae,Amazona,leucocephala,hesterna,"(Linnaeus, 1758)",Cuban amazon,Cayman Brac,Cayman Islands,Cayman Islands,Latin America and Caribbean,Americas,Caribbean,19.71667,-79.81667,1,Terrestrial,Neotropical,Tropical and subtropical dry broadleaf forests,,,,,,0,Number of individuals,Fixed station counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,400,,,400,,,,,,,,,,,,,,,,,,,,,,,
253,Amazona_versicolor,0," Juniper, T. and M. Parr (1998). Parrots: A guide to the parrots of the world. Haarlem, Netherlands, Ger Meesters Boekprodukties.",Aves,Psittaciformes,Psittacidae,Amazona,versicolor,,"(M??ller, 1776)",St Lucia amazon,St Lucia,Saint Lucia,Saint Lucia,Latin America and Caribbean,Americas,Caribbean,13.905,-60.97028,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Amazona_vittata,0, Birdlife International (2006). Species factsheet: Amazona vittata.,Aves,Psittaciformes,Psittacidae,Amazona,vittata,,"(Boddaert, 1783)",Puerto rican amazon,Puerto Rico,Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.23278,-66.4575,0,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,33,,,,,,,,,,,,,,,,
